dataset,n_samples,n_features,class_1_fraction,algorithm,algorithm_name,kappa,max_features,estimate_noise_before_sampling,es_offset,n_estimators,n_iterations,train_acc (mean),train_acc (median),test_acc (mean),test_acc (median),mcc_test (mean),mcc_test (median),f1_test (mean),f1_test (median),log_loss_test (mean),log_loss_test (median),mean_depth (mean),mean_depth (median),median_depth (mean),median_depth (median),sd_depth (mean),sd_depth (median),mean_n_leaves (mean),mean_n_leaves (median),median_n_leaves (mean),median_n_leaves (median),sd_n_leaves (mean),sd_n_leaves (median),ensemble_fit_duration (mean),ensemble_fit_duration (median),mean_tree_fit_duration (mean),mean_tree_fit_duration (median),median_tree_fit_duration (mean),median_tree_fit_duration (median)
Ozone,2534,72,0.9368587213891081,FMSE,FMSE,,,,0.0,100,300,0.9411476608187134,0.9412280701754386,0.9384908136482939,0.937007874015748,0.043747737203520674,0.0,0.9681799229329803,0.967479674796748,0.16816348727884464,0.1657009802278273,3.69,4.0,3.69,4.0,0.0,0.0,12.053466666666665,13.805,12.418333333333333,14.0,1.4000018378629762,1.5910215272018333,2.173848728338877,2.346063494682312,,,,
Ozone,2534,72,0.9368587213891081,UES,UES,1nn,sqrt,True,0.0,100,300,0.9480950292397662,0.9486842105263158,0.9397900262467193,0.9409448818897638,0.12251518883992678,0.0,0.9688167842290432,0.9694501018329938,0.1605185590779872,0.15839950624795957,4.73,5.0,4.73,5.0,0.0,0.0,20.83353333333333,22.97,21.173333333333332,23.0,2.986173429854666,3.279603572078284,0.925793350537618,0.9427787065505981,,,,
Ozone,2534,72,0.9368587213891081,IES,IGES,1nn,sqrt,True,0.0,100,300,0.9672982456140352,0.9664473684210526,0.9417847769028871,0.9409448818897638,0.2346095800607146,0.2538435371296203,0.9697655528595719,0.9694501018329938,0.15492718099544936,0.15249198287799065,7.0232,6.96,6.718333333333334,7.0,1.476367378284868,1.402248129581566,45.69966666666666,45.01,43.836666666666666,43.0,12.950204403712492,13.326928765346757,202.43662920633952,199.72692787647247,2.021050096666667,1.9942595,2.0056610833333335,1.9846020000000002
Ozone,2534,72,0.9368587213891081,IES,ILES,1nn,sqrt,True,0.0,100,300,0.9427909356725146,0.9425438596491228,0.9387139107611547,0.9409448818897638,0.07366657265949295,0.0,0.9682781319697487,0.9693251533742331,0.16839197200664022,0.1674573567008559,3.9736000000000007,3.98,4.015,4.0,0.6631492320979157,0.6554005509183465,14.482000000000001,14.364999999999998,14.19,15.0,4.909845832450697,4.921076723107676,144.02088416894276,144.7073962688446,1.4366104233333334,1.4432285,1.4340875433333333,1.4406029999999999
Ozone,2534,72,0.9368587213891081,MD_scikit,MD_scikit,,sqrt,,,100,300,0.9999956140350877,1.0,0.9442125984251967,0.9448818897637795,0.31604444317914243,0.3312352509790714,0.9709399091697969,0.9713114754098361,0.17819398243142784,0.1507559227210617,14.404133333333332,14.41,14.145,14.0,2.0127926125952147,2.0021363418210862,91.14753333333334,91.205,91.14,91.0,6.659580654428297,6.6649341851363495,1.2326935672760009,1.285717248916626,,,,
Ozone,2534,72,0.9368587213891081,MD_custom,MD_custom,no_es,sqrt,True,0.0,100,300,0.9999956140350877,1.0,0.9442650918635168,0.9448818897637795,0.323546515112007,0.33477794310025966,0.9709493073293474,0.9714285714285714,0.18679826531296592,0.15577542997842592,14.451733333333332,14.405000000000001,14.228333333333333,14.0,1.9934469649886026,1.9880014603305303,91.23193333333334,91.32,91.15666666666667,91.0,6.631140192129702,6.630021668855207,1.6363598084449769,1.7067091464996338,0.014232936666666666,0.0148265,0.01409637,0.01471
Spam,4601,57,0.39404477287546186,FMSE,FMSE,,,,0.0,100,300,0.9206046698872785,0.9231884057971015,0.9155169920462761,0.9154013015184381,0.8248315820320443,0.8248991698053474,0.8852883363758669,0.8863951145807101,0.30198334772630986,0.296350210337269,3.67,4.0,3.67,4.0,0.0,0.0,12.377633333333334,14.52,12.688333333333333,15.0,0.9395711914507189,1.159310126859114,2.0776456332206727,2.2145867347717285,,,,
Spam,4601,57,0.39404477287546186,UES,UES,1nn,sqrt,True,0.0,100,300,0.9418840579710146,0.9420289855072463,0.9305784526391901,0.93058568329718,0.8551006497208429,0.8549798345737931,0.9081933361599102,0.9088535485402326,0.23694120102016417,0.2367046060935505,6.0,6.0,6.0,6.0,0.0,0.0,40.64196666666666,39.754999999999995,40.79833333333333,40.0,5.175662102465003,5.048918050576081,1.0195465731620788,1.0204330682754517,,,,
Spam,4601,57,0.39404477287546186,IES,IGES,1nn,sqrt,True,0.0,100,300,0.920696457326892,0.9207729468599034,0.9066522053506867,0.9067245119305857,0.8046502997605052,0.8080092952905371,0.8759614531759435,0.8780487804878049,0.24852734532833354,0.24435525537803715,6.478633333333334,6.51,6.455,6.75,0.5247517016974126,0.5195671252925425,49.19109999999999,48.16,48.37,47.0,10.036351989383219,9.920518809246222,202.42352795998255,189.7681782245636,2.01805609,1.8916344999999999,2.0125576566666665,1.8964525
Spam,4601,57,0.39404477287546186,IES,ILES,1nn,sqrt,True,0.0,100,300,0.9083655394524959,0.9084541062801932,0.8964931308749097,0.89587852494577,0.7833621716421076,0.7837068055936824,0.8617088913312263,0.8636363636363636,0.2681130606865209,0.2644156778234227,5.734866666666667,5.8149999999999995,5.726666666666667,6.0,0.454603721538626,0.4730167386851193,36.37286666666667,36.49,35.865,37.0,7.340684373375668,7.401816323835453,174.71084912935893,164.06931936740875,1.7405659800000002,1.6338525,1.7350395133333332,1.6392025
Spam,4601,57,0.39404477287546186,MD_scikit,MD_scikit,,sqrt,,,100,300,0.9993760064412239,0.9992753623188406,0.9544613159797541,0.9544468546637744,0.9046370715048441,0.9050381929150322,0.9415709514392823,0.9421990002260795,0.18079588959829132,0.15641540447148888,32.5311,32.59,32.126666666666665,32.0,4.479450053131252,4.479319130449426,321.7662,321.735,321.8333333333333,322.0,20.56606444520356,20.560917975456846,1.2346855425834655,1.2987189292907715,,,,
Spam,4601,57,0.39404477287546186,MD_custom,MD_custom,no_es,sqrt,True,0.0,100,300,0.9993808373590982,0.9992753623188406,0.9508532176428055,0.9501084598698482,0.8970887093364998,0.8956162377711994,0.9369686469511865,0.9361747348584141,0.19373617381845412,0.1675238108204426,32.39946666666667,32.31,32.086666666666666,32.0,4.041892150726516,4.019352760131737,321.9857333333333,322.675,321.8566666666667,322.5,18.05368901735734,17.951806939128947,1.775101606051127,1.8695573806762695,0.014138669999999997,0.01488,0.014062820000000004,0.014772
Wisc. Breast Cancer,683,9,0.34992679355783307,FMSE,FMSE,,,,0.0,100,300,0.9790065146579805,0.9788273615635179,0.9720289855072465,0.9710144927536232,0.9393618735245624,0.9401267913629436,0.9600997623016758,0.9622507122507122,0.10790964800261496,0.10258407372619238,3.05,3.0,3.05,3.0,0.0,0.0,7.9816,7.63,8.241666666666667,8.0,0.6277048418791722,0.5339475629684998,0.805646207332611,0.7917581796646118,,,,
Wisc. Breast Cancer,683,9,0.34992679355783307,UES,UES,1nn,sqrt,True,0.0,100,300,0.9823344191096635,0.9820846905537459,0.9723671497584542,0.9710144927536232,0.9400337267860113,0.9398954703832753,0.9605554485335301,0.9615384615384616,0.09700908932167714,0.09108726028168765,4.396566666666667,4.0,4.3966666666666665,4.0,0.00099498743710662,0.0,14.104266666666666,12.535,14.088333333333333,13.0,1.8079546769055879,1.511784469344209,0.26478090047836306,0.2656599283218384,,,,
Wisc. Breast Cancer,683,9,0.34992679355783307,IES,IGES,1nn,sqrt,True,0.0,100,300,0.9906134636264929,0.990228013029316,0.9669565217391304,0.9710144927536232,0.9283551306305765,0.9368348704377336,0.9529941464857431,0.9583333333333334,0.11282983056148761,0.08866919830432286,6.7177999999999995,6.79,6.4783333333333335,7.0,1.6278170720850558,1.6429082284505623,21.55706666666667,21.71,21.373333333333335,22.0,4.648341973669424,4.637882052212602,3.5960151672363283,3.674358606338501,0.034941513333333334,0.035707,0.034270303333333335,0.035092
Wisc. Breast Cancer,683,9,0.34992679355783307,IES,ILES,1nn,sqrt,True,0.0,100,300,0.9777198697068403,0.9771986970684039,0.9647826086956521,0.9710144927536232,0.923679532570685,0.9338014551816908,0.9498615460082204,0.9545454545454546,0.10656156995047911,0.09853779025090996,3.8069999999999995,3.83,3.7816666666666667,4.0,0.6295876566999477,0.6207656236072046,11.553266666666666,11.48,11.288333333333334,12.0,3.213641930373841,3.209010669204349,1.538521957397461,1.5788313150405884,0.014404686666666666,0.0147615,0.014277556666666668,0.014915999999999999
Wisc. Breast Cancer,683,9,0.34992679355783307,MD_scikit,MD_scikit,,sqrt,,,100,300,0.9999891422366992,1.0,0.9712077294685991,0.9710144927536232,0.9373490122209719,0.9391534391534392,0.9586684685632023,0.9615384615384616,0.11717954054473083,0.08309048538969502,8.7414,8.76,8.701666666666666,9.0,1.3208528344087649,1.3186355800450091,26.48133333333333,26.685000000000002,26.413333333333334,27.0,4.0021191114769525,3.9814507014022094,0.24812439759572347,0.2604360580444336,,,,
Wisc. Breast Cancer,683,9,0.34992679355783307,MD_custom,MD_custom,no_es,sqrt,True,0.0,100,300,0.9999945711183497,1.0,0.9665217391304349,0.9710144927536232,0.9270879304051101,0.9338014551816908,0.951838058089512,0.9523809523809523,0.13311233923586638,0.0854702541725307,8.710600000000001,8.73,8.595,9.0,1.293007191955521,1.2954342865190625,26.489333333333335,26.564999999999998,26.458333333333332,26.5,3.8641158481039195,3.8699547544272903,0.2287645697593689,0.2389073371887207,0.0018505033333333332,0.0019305,0.0018442400000000002,0.0019245
